player_id,player_name,yprr,route_participation,snap_share,first_read_share,slot_rate,wide_rate,source,notes
9488,Jaxon Smith-Njigba,3.72,0.949,0.789,0.444,,,https://www.playerprofiler.com/nfl/jaxon-smith-njigba/,2025 PlayerProfiler advanced metrics; percentage fields stored as decimal fractions; retrieved 2026-08-01
11604,Brock Bowers,1.75,0.898,0.855,0.317,,,https://www.playerprofiler.com/nfl/brock-bowers/,2025 PlayerProfiler advanced metrics; percentage fields stored as decimal fractions; retrieved 2026-08-01
7526,Jaylen Waddle,2.41,0.775,0.785,0.346,,,https://www.playerprofiler.com/nfl/jaylen-waddle/,2025 PlayerProfiler advanced metrics; percentage fields stored as decimal fractions; retrieved 2026-08-01
